Day,Queue Policy,Alloc Policy,CPU Utilization,Memory Utilization
1,1,1,99.77,80.88
1,1,2,99.74,82.06
1,1,3,99.97,78.02
1,2,1,98.18,47.36
1,2,2,99.06,44.20
1,2,3,99.93,62.38
1,3,1,100.00,82.91
1,3,2,99.87,77.32
1,3,3,99.71,81.92
2,1,1,99.77,77.66
2,1,2,99.25,79.39
2,1,3,100.00,78.20
2,2,1,100.00,38.51
2,2,2,95.44,52.84
2,2,3,99.67,68.93
2,3,1,100.00,79.99
2,3,2,98.96,73.90
2,3,3,99.87,79.76
3,1,1,99.90,74.33
3,1,2,99.90,80.03
3,1,3,99.87,82.56
3,2,1,97.30,39.55
3,2,2,98.37,52.73
3,2,3,96.74,81.88
3,3,1,97.53,84.38
3,3,2,99.15,74.66
3,3,3,99.45,81.81
4,1,1,100.00,74.56
4,1,2,99.09,75.76
4,1,3,99.09,84.30
4,2,1,94.30,57.17
4,2,2,98.37,61.73
4,2,3,98.86,78.78
4,3,1,99.38,79.72
4,3,2,99.77,73.74
4,3,3,99.93,73.91
5,1,1,99.25,71.78
5,1,2,99.32,75.59
5,1,3,99.58,84.99
5,2,1,99.38,49.93
5,2,2,96.32,55.44
5,2,3,97.49,68.02
5,3,1,98.14,73.08
5,3,2,98.24,72.30
5,3,3,99.02,78.09
6,1,1,98.93,69.01
6,1,2,98.83,72.79
6,1,3,98.05,78.93
6,2,1,96.71,52.48
6,2,2,91.28,61.41
6,2,3,95.12,74.83
6,3,1,97.79,74.88
6,3,2,97.66,76.20
6,3,3,98.05,76.10
7,1,1,98.54,73.75
7,1,2,98.27,75.82
7,1,3,98.27,74.22
7,2,1,96.35,56.99
7,2,2,94.53,62.22
7,2,3,96.06,68.31
7,3,1,95.57,78.15
7,3,2,98.37,69.24
7,3,3,98.05,73.43
